*Frequency 	VM1-abs (dB)	VM1-phase (deg)
3325,07057360953	-27,4083076527812	167,701646417582
3394,66899802055	-27,0483251507466	167,44000088541
3465,72421577573	-26,6883464495075	167,172612831723
3538,26671961777	-26,3283724768986	166,899345571886
3612,32764054554	-25,9684042663026	166,620058566526
3687,9387611737	-25,6084429668344	166,334607284351
3765,13252937195	-25,2484898544472	166,042843059317
3843,94207218971	-24,8885463440395	165,744612941931
3924,40121007238	-24,5286140026534	165,439759544499
4006,54447137502	-24,1686945638551	165,128120880134
4090,40710717998	-23,8087899434033	164,80953019532
4176,02510642453	-23,4489022563151	164,483815795868
4263,43521134525	-23,0890338354499	164,150800866098
4352,67493324564	-22,7291872517425	163,810303281091
4443,78256859378	-22,369365336225	163,462135411879
4536,79721545692	-22,0095712039912	163,10610392348
4631,75879028008	-21,6498082802677	162,742009565683
4728,70804501588	-21,2900803287691	162,369646956549
4827,68658461288	-20,9303914825299	161,988804358634
4928,73688486997	-20,5707462774203	161,599263447975
5031,90231066455	-20,2111496885673	161,200799075957
5137,22713456212	-19,8516071699231	160,793179024236
5244,75655581556	-19,4921246972368	160,376163752982
5354,53671976194	-19,1327088147077	159,949506142808
5466,61473762543	-18,7733666856161	159,512951230829
5581,03870673469	-18,4141061472503	159,066235941479
5697,8577311634	-18,0549357704694	158,60908881279
5817,12194280287	-17,6958649242635	158,141229719078
5938,88252287571	-17,3369038457	157,662369591101
6063,19172389986	-16,9780637156626	157,172210135047
6190,10289211223	-16,6193567408209	156,670443551882
6319,67049036187	-16,2607962422873	156,156752258952
6451,95012148216	-15,9023967514458	155,630808615971
6586,99855215237	-15,5441741134601	155,092274657973
6724,87373725853	-15,1861455989884	154,540801838134
6865,63484476434	-14,8283300246577	153,976030783894
7009,34228110254	-14,4707478828636	153,397591070277
7156,05771709785	-14,1134214814781	152,805101014903
7305,84411443247	-13,7563750940593	152,198167499821
7458,76575266557	-13,3996351211566	151,576385825988
7614,88825681828	-13,0432302633053	150,939339607009
7774,27862553614	-12,6871917062882	150,286600709626
7937,005259841	-12,331553319219	149,617729249349
8103,1379924847	-11,9763518659617	148,932273650704
8272,74811791726	-11,6216272303467	148,229770782635
8445,90842288223	-11,2674226555641	147,509746180836
8622,69321765255	-10,9137849980219	146,771714370063
8803,17836792013	-10,5607649958199	146,015179300823
8987,44132735299	-10,2084175518394	145,23963491631
9175,56117083386	-9,8568020312428	144,444565866886
9367,61862839445	-9,50598257294207	143,629448390998
9563,6961198601	-9,15602841430252	142,793751382877
9763,8777902195	-8,80701422800527	141,936937668918
9968,24954573486	-8,45902046958598	141,058465516039
10176,8990908078	-8,11213373369591	140,157790396608
10389,9159656169	-7,76644711658594	139,23436703563
10607,3915845434	-7,42206058169235	138,287651766658
10829,4192754003	-7,07908132449991	137,317105223339
11056,094319484	-6,73762413207072	136,322195393366
11287,5139924627	-6,39781173175914	135,302401060883
11523,7776061219	-6,05977512268554	134,25721566184
11764,986550983	-5,7236538825239	133,18615157426
12011,2443398143	-5,38959644108519	132,088744861723
12262,6566520527	-5,05776031106751	130,964560483339
12519,3313791547	-4,72831226522631	129,813197976904
