R1	Freq_tr(Hz)	V_tr(V)	DC_tr(V)	Freq_sq(Hz)	V_sq(V)	DC_sq(V)	Phase(deg)	rise_tr(s)	fall_tr(s)	rise_sq(s)	fall_sq(s)
159	2103.30	1.2500	4.7835	2117.20	90.0000	43.7500	84.80	0.000164	0.000188	0.000022	0.000025
158	2121.50	1.2500	4.7835	2119.40	90.0000	43.6200	84.70	0.000164	0.000183	0.000022	0.000024
157	2124.00	1.2500	4.7860	2129.10	92.0000	43.5000	85.00	0.000159	0.000182	0.000021	0.000025
156	2128.40	1.2500	4.7872	2130.60	90.0000	43.3700	85.70	0.000160	0.000181	0.000022	0.000025
155	2138.90	1.2500	4.7885	2138.60	92.0000	43.2400	85.70	0.000160	0.000183	0.000022	0.000024
154	2149.60	1.2500	4.7872	2144.80	92.0000	43.1200	85.80	0.000161	0.000181	0.000022	0.000025
153	2148.50	1.2500	4.7898	2148.50	92.0000	43.1200	86.70	0.000162	0.000182	0.000022	0.000025
152	2157.40	1.2500	4.7910	2155.90	90.0000	42.9900	87.00	0.000156	0.000179	0.000022	0.000024
151	2161.10	1.2300	4.7910	2161.90	92.0000	42.8700	86.80	0.000158	0.000179	0.000021	0.000025
150	2160.40	1.2300	4.7935	2167.90	90.0000	42.7400	86.00	0.000158	0.000178	0.000022	0.000025
149	2170.10	1.2300	4.7948	2171.60	92.0000	42.7400	85.60	0.000157	0.000178	0.000022	0.000025
148	2183.80	1.2300	4.7948	2180.40	90.0000	42.6200	86.30	0.000156	0.000180	0.000022	0.000025
147	2183.00	1.2300	4.7960	2184.20	90.0000	42.4900	86.20	0.000158	0.000181	0.000022	0.000024
146	2190.30	1.2100	4.7973	2188.40	90.0000	42.3600	87.60	0.000158	0.000178	0.000022	0.000025
145	2187.60	1.2100	4.7986	2196.10	92.0000	42.3600	84.50	0.000159	0.000181	0.000022	0.000025
144	2196.80	1.2100	4.7986	2201.90	90.0000	42.3600	84.00	0.000159	0.000180	0.000022	0.000025
143	2206.10	1.2100	4.7986	2208.50	90.0000	42.3600	85.20	0.000158	0.000181	0.000022	0.000024
142	2203.40	1.1900	4.8011	2214.30	90.0000	42.3600	84.30	0.000157	0.000180	0.000021	0.000025
141	2225.00	1.2100	4.7998	2223.00	90.0000	42.2400	84.10	0.000158	0.000179	0.000021	0.000025
140	2230.20	1.2100	4.8023	2229.00	90.0000	42.2400	85.60	0.000157	0.000177	0.000022	0.000025
139	2238.50	1.1900	4.8023	2234.50	90.0000	42.2400	85.70	0.000159	0.000180	0.000021	0.000025
138	2246.20	1.1900	4.8036	2242.60	90.0000	42.3600	85.90	0.000155	0.000180	0.000022	0.000025
137	2246.20	1.1900	4.8061	2246.20	90.0000	42.3600	86.50	0.000159	0.000181	0.000022	0.000025
136	2252.30	1.1900	4.8061	2255.10	90.0000	42.3600	85.80	0.000157	0.000179	0.000022	0.000025
135	2262.00	1.1900	4.8061	2263.30	90.0000	42.3600	86.30	0.000160	0.000181	0.000022	0.000025
134	2264.10	1.1700	4.8099	2269.80	90.0000	42.3600	83.00	0.000152	0.000181	0.000022	0.000025
