Frequency (Hz),Amplitude
123.214721821,-135.99999180797496
123.596191548,1.2335410892779718e+20
123.97766127499999,-135.99999180799387
124.359131002,-135.9999918079999
124.740600729,-135.9999918063957
125.12207045599999,-135.99999180799844
125.503540183,-135.99999180799998
125.88500991,-135.9999918079984
126.26647963699999,1.2335410892779718e+20
126.647949364,-135.99999180799387
127.029419091,-135.9999918079999
127.41088881799999,-135.99999180147364
127.792358545,-135.99999180799844
128.17382827199998,-135.99999180799998
128.555297999,-135.9999918078987
128.936767726,1.2335410892779718e+20
129.318237453,-135.99999180799387
129.69970718,-135.9999918079999
130.08117690699999,-135.99999180799836
130.46264663399998,-135.99999180799844
130.844116361,-135.99999180799998
131.225586088,-135.9999918063976
131.607055815,1.2335410892779718e+20
131.988525542,-135.99999180799387
132.369995269,-135.9999918079999
132.75146499599998,-135.99999178116695
133.132934723,-135.99999180799844
133.51440445,-135.99999180799998
133.895874177,-135.99999180759028
134.277343904,1.2335410892779718e+20
134.658813631,-135.99999180799387
135.04028335799998,-135.9999918079999
135.421753085,-135.99999138099986
135.803222812,-135.99999180799844
136.184692539,-135.99999180799998
136.566162266,-135.9999918079937
136.947631993,1.2335410892779718e+20
137.32910171999998,-135.99999180799387
137.710571447,-135.9999918079999
138.092041174,-135.99999180759664
138.473510901,-135.99999180799844
138.854980628,-135.99999180799998
139.236450355,-135.99999180799358
139.61792008199998,1.2335410892779718e+20
139.99938980899998,-135.99999180799387
140.380859536,-135.9999918079999
140.762329263,-135.99999180799844
141.14379899,-135.99999180799844
141.525268717,-135.99999180799998
141.90673844399998,-135.99999180636996
142.28820817099998,1.2335410892779718e+20
142.669677898,-135.99999180799387
143.051147625,-135.9999918079999
143.432617352,-135.9999917006679
143.814087079,-135.99999180799844
144.19555680599998,-135.99999180799998
144.57702653299998,-135.99999170428077
144.95849626,1.2335410892779718e+20
145.339965987,-135.99999180799387
145.721435714,-135.9999918079999
146.102905441,-135.99999180789746
146.48437516799999,-135.99999180799844
146.86584489499998,-135.99999180799998
147.247314622,-135.99999180797397
147.628784349,1.2335410892779718e+20
148.010254076,-135.99999180799387
148.391723803,-135.9999918079999
148.77319353,-135.99999180799364
149.15466325699998,-135.99999180799844
149.536132984,-135.99999180799998
149.917602711,-135.99999180639733
150.299072438,1.2335410892779718e+20
150.680542165,-135.99999180799387
151.062011892,-135.9999918079999
151.44348161899998,-135.9999917029962
151.824951346,-135.99999180799844
152.206421073,-135.99999180799998
152.5878908,-135.9999918078953
152.969360527,1.2335410892779718e+20
153.350830254,-135.99999180799387
153.73229998099998,-135.9999918079999
154.11376970799998,-135.99999180636843
154.495239435,-135.99999180799844
154.876709162,-135.99999180799998
155.258178889,-135.99999170078374
155.639648616,1.2335410892779718e+20
156.02111834299998,-135.99999180799387
156.40258806999998,-135.9999918079999
156.784057797,-135.9999918063957
157.165527524,-135.99999180799844
157.546997251,-135.99999180799998
157.928466978,-135.99999170078374
158.30993670499998,1.2335410892779718e+20
158.69140643199998,-135.99999180799387
159.072876159,-135.9999918079999
159.454345886,-135.99999180799352
159.835815613,-135.99999180799844
160.21728534,-135.99999180799998
160.59875506699998,-135.99999180637928
160.98022479399998,1.2335410892779718e+20
161.361694521,-135.99999180799387
161.743164248,-135.9999918079999
162.124633975,-135.99999180125536
162.506103702,-135.99999180799844
162.88757342899999,-135.99999180799998
163.26904315599998,-135.99999180799838
163.650512883,1.2335410892779718e+20
164.03198261,-135.99999180799387
164.413452337,-135.9999918079999
164.794922064,-135.99999138798478
165.176391791,-135.99999180799844
165.55786151799998,-135.99999180799998
165.939331245,-135.9999918078987
166.320800972,1.2335410892779718e+20
166.702270699,-135.99999180799387
167.083740426,-135.9999918079999
167.465210153,-135.99999180797465
167.84667987999998,-135.99999180799844
168.22814960699998,-135.99999180799998
168.609619334,-135.99999180759934
168.991089061,1.2335410892779718e+20
169.372558788,-135.99999180799387
169.754028515,-135.9999918079999
170.13549824199998,-135.99999178204007
170.51696796899998,-135.99999180799844
170.898437696,-135.99999180799998
171.279907423,-135.9999918079935
171.66137715,1.2335410892779718e+20
172.042846877,-135.99999180799387
172.42431660399998,-135.9999918079999
172.80578633099998,-135.99999180125536
173.187256058,-135.99999180799844
173.568725785,-135.99999180799998
173.950195512,-135.99999180759482
174.331665239,1.2335410892779718e+20
174.71313496599998,-135.99999180799387
175.09460469299998,-135.9999918079999
175.47607442,-135.9999918079934
175.857544147,-135.99999180799844
176.239013874,-135.99999180799998
176.620483601,-135.99999180799836
177.00195332799998,1.2335410892779718e+20
177.38342305499998,-135.99999180799387
177.764892782,-135.9999918079999
178.146362509,-135.999991807583
178.527832236,-135.99999180799844
178.909301963,-135.99999180799998
179.29077168999999,-135.99999180639733
179.67224141699998,1.2335410892779718e+20
180.053711144,-135.99999180799387
180.435180871,-135.9999918079999
180.816650598,-135.99999180758982
181.198120325,-135.99999180799844
181.579590052,-135.99999180799998
181.96105977899998,-135.99999180789757
182.34252950599998,1.2335410892779718e+20
182.723999233,-135.99999180799387
183.10546896,-135.9999918079999
183.486938687,-135.99999178116695
183.868408414,-135.99999180799844
184.24987814099998,-135.99999180799998
184.63134786799998,-135.9999918079744
185.012817595,1.2335410892779718e+20
185.394287322,-135.99999180799387
185.775757049,-135.9999918079999
186.157226776,-135.99999180125536
186.53869650299998,-135.99999180799844
186.92016622999998,-135.99999180799998
187.301635957,-135.9999917813409
187.683105684,1.2335410892779718e+20
188.064575411,-135.99999180799387
188.446045138,-135.9999918079999
188.82751486499998,-135.99999180789746
189.20898459199998,-135.99999180799844
189.590454319,-135.99999180799998
189.971924046,-135.99999180758576
190.353393773,1.2335410892779718e+20
190.7348635,-135.99999180799387
191.11633322699998,-135.9999918079999
191.49780295399998,-135.9999918013645
191.879272681,-135.99999180799844
192.260742408,-135.99999180799998
192.642212135,-135.9999913930411
193.023681862,1.2335410892779718e+20
193.40515158899998,-135.99999180799387
193.78662131599998,-135.9999918079999
194.168091043,-135.9999918079738
194.54956077,-135.99999180799844
194.931030497,-135.99999180799998
195.312500224,-135.99999180799838
195.69396995099999,1.2335410892779718e+20
196.07543967799998,-135.99999180799387
196.45690940499998,-135.9999918079999
196.838379132,-135.99999180799838
197.219848859,-135.99999180799844
197.601318586,-135.99999180799998
197.982788313,-135.9999918078953
198.36425803999998,1.2335410892779718e+20
198.74572776699998,-135.99999180799387
199.127197494,-135.9999918079999
199.508667221,-135.99999180799836
199.890136948,-135.99999180799844
200.271606675,-135.99999180799998
200.65307640199998,-135.99999180639733
201.03454612899998,1.2335410892779718e+20
201.416015856,-135.99999180799387
201.797485583,-135.9999918079999
202.17895531,-135.99999180797465
202.560425037,-135.99999180799844
202.94189476399998,-135.99999180799998
203.32336449099998,-135.99999180789985
203.704834218,1.2335410892779718e+20
204.086303945,-135.99999180799387
204.467773672,-135.9999918079999
204.849243399,-135.99999180799836
205.23071312599998,-135.99999180799844
205.61218285299998,-135.99999180799998
205.99365258,-135.99999180758567
206.375122307,1.2335410892779718e+20
206.756592034,-135.99999180799387
