Frequency(Hz)	Amplitude
7.553100594599999340e+01	1.048509875360427868e+20
7.591247567300000298e+01	-1.051699897599948059e+02
7.629394539999999836e+01	-1.051699897599999218e+02
7.667541512699999373e+01	-1.051699897586286170e+02
7.705688485399998910e+01	-1.051699897599986855e+02
7.743835458099999869e+01	-1.051699897599999787e+02
7.781982430799999406e+01	-1.051699894013479906e+02
7.820129403499998944e+01	1.048509875360427868e+20
7.858276376199999902e+01	-1.051699897599948059e+02
7.896423348899999439e+01	-1.051699897599999218e+02
7.934570321599998977e+01	-1.051699897544835238e+02
7.972717294299999935e+01	-1.051699897599986855e+02
8.010864266999999472e+01	-1.051699897599999787e+02
8.049011239699999010e+01	-1.051699894014098078e+02
8.087158212399999968e+01	1.048509875360427868e+20
8.125305185099999505e+01	-1.051699897599948059e+02
8.163452157799999043e+01	-1.051699897599999218e+02
8.201599130500000001e+01	-1.051699897585745020e+02
8.239746103199999538e+01	-1.051699897599986855e+02
8.277893075899999076e+01	-1.051699897599999787e+02
8.316040048600000034e+01	-1.051699897379596678e+02
8.354187021299999572e+01	1.048509875360427868e+20
8.392333993999999109e+01	-1.051699897599948059e+02
8.430480966700000067e+01	-1.051699897599999218e+02
8.468627939399999605e+01	-1.051699897544835238e+02
8.506774912099999142e+01	-1.051699897599986855e+02
8.544921884800000100e+01	-1.051699897599999787e+02
8.583068857499999638e+01	-1.051699897586224495e+02
8.621215830199999175e+01	1.048509875360427868e+20
8.659362802900000133e+01	-1.051699897599948059e+02
8.697509775599999671e+01	-1.051699897599999218e+02
8.735656748299999208e+01	-1.051699897599104361e+02
8.773803721000000166e+01	-1.051699897599986855e+02
8.811950693699999704e+01	-1.051699897599999787e+02
8.850097666399999241e+01	-1.051699897585913135e+02
8.888244639100000200e+01	1.048509875360427868e+20
8.926391611799999737e+01	-1.051699897599948059e+02
8.964538584499999274e+01	-1.051699897599999218e+02
9.002685557200000233e+01	-1.051699893990289496e+02
9.040832529899999770e+01	-1.051699897599986855e+02
9.078979502599999307e+01	-1.051699897599999787e+02
9.117126475299998845e+01	-1.051699897370914272e+02
9.155273447999999803e+01	1.048509875360427868e+20
9.193420420699999340e+01	-1.051699897599948059e+02
9.231567393399998878e+01	-1.051699897599999218e+02
9.269714366099999836e+01	-1.051699897599986855e+02
9.307861338799999373e+01	-1.051699897599986855e+02
9.346008311499998911e+01	-1.051699897599999787e+02
9.384155284199999869e+01	-1.051699897599143867e+02
9.422302256899999406e+01	1.048509875360427868e+20
9.460449229599998944e+01	-1.051699897599948059e+02
