Frequency(Hz)	Amplitude
9.956359874700000034e+01	-8.086000000000000000e+03
9.994506847399999572e+01	2.464700000000000000e+04
1.003265382009999911e+02	-3.266200000000000000e+04
1.007080079280000007e+02	8.296000000000000000e+03
1.010894776549999960e+02	1.646900000000000000e+04
1.014709473819999914e+02	-3.266200000000000000e+04
1.018524171090000010e+02	2.466600000000000000e+04
1.022338868359999964e+02	-3.266700000000000000e+04
1.026153565629999918e+02	-8.088000000000000000e+03
1.029968262900000013e+02	2.874900000000000000e+04
1.033782960169999967e+02	-3.989000000000000000e+03
1.037597657439999921e+02	-1.218700000000000000e+04
1.041412354710000017e+02	-3.267400000000000000e+04
1.045227051979999970e+02	-1.627800000000000000e+04
1.049041749249999924e+02	-2.449400000000000000e+04
1.052856446519999878e+02	4.201000000000000000e+03
1.056671143789999974e+02	8.297000000000000000e+03
1.060485841059999927e+02	2.055600000000000000e+04
1.064300538329999881e+02	1.239400000000000000e+04
1.068115235599999977e+02	2.876500000000000000e+04
1.071929932869999931e+02	2.877200000000000000e+04
1.075744630139999884e+02	-2.447000000000000000e+04
1.079559327409999980e+02	8.238000000000000000e+03
1.083374024679999934e+02	-3.266200000000000000e+04
1.087188721949999888e+02	-2.447400000000000000e+04
1.091003419219999984e+02	2.466900000000000000e+04
1.094818116489999937e+02	1.649200000000000000e+04
1.098632813759999891e+02	2.057300000000000000e+04
1.102447511029999987e+02	2.467700000000000000e+04
1.106262208299999941e+02	2.877600000000000000e+04
1.110076905569999894e+02	-1.630800000000000000e+04
1.113891602839999990e+02	1.649100000000000000e+04
1.117706300109999944e+02	-1.219000000000000000e+04
1.121520997379999898e+02	-1.219100000000000000e+04
1.125335694649999994e+02	-2.856500000000000000e+04
1.129150391919999947e+02	-2.859200000000000000e+04
1.132965089189999901e+02	-3.993000000000000000e+03
1.136779786459999997e+02	1.239000000000000000e+04
1.140594483729999951e+02	1.647600000000000000e+04
1.144409180999999904e+02	8.300000000000000000e+03
1.148223878270000000e+02	2.876500000000000000e+04
1.152038575539999954e+02	-2.447300000000000000e+04
1.155853272809999908e+02	-8.085000000000000000e+03
1.159667970080000003e+02	-4.037000000000000000e+03
1.163482667349999957e+02	2.058700000000000000e+04
1.167297364619999911e+02	8.294000000000000000e+03
1.171112061890000007e+02	8.286000000000000000e+03
1.174926759159999961e+02	-3.266000000000000000e+04
1.178741456429999914e+02	-1.629600000000000000e+04
1.182556153700000010e+02	-3.266400000000000000e+04
1.186370850969999964e+02	4.203000000000000000e+03
1.190185548239999918e+02	-1.221600000000000000e+04
1.194000245509999871e+02	4.203000000000000000e+03
1.197814942779999967e+02	-2.038200000000000000e+04
1.201629640049999921e+02	4.195000000000000000e+03
1.205444337319999875e+02	2.468300000000000000e+04
1.209259034589999970e+02	2.464800000000000000e+04
1.213073731859999924e+02	1.649100000000000000e+04
1.216888429129999878e+02	1.239300000000000000e+04
1.220703126399999974e+02	1.237500000000000000e+04
1.224517823669999927e+02	-8.084000000000000000e+03
1.228332520939999881e+02	2.467200000000000000e+04
1.232147218209999977e+02	-1.218800000000000000e+04
1.235961915479999931e+02	1.649100000000000000e+04
1.239776612749999884e+02	-2.450200000000000000e+04
1.243591310019999980e+02	2.468200000000000000e+04
1.247406007289999934e+02	-3.995000000000000000e+03
